id_imagen,autor_id,tipo_manovich,confianza_etiqueta,caso_limite,justificacion_etiqueta,mediana_luminancia,dispersion_luminancia,prop_sombras,prop_altas_luces,matiz_dominante_deg,saturacion_media,dominancia_cromatica
cefbe6ec666f0528,JOB,casual,media,False,"Plato de comida : La imagen pertenece a la categoría casual al capturar una porción de pollo con papas fritas servida de forma directa y sin preparación estilística.
El encuadre en plano cenital es inmediato y refleja el acto cotidiano de documentar un almuerzo o cena en el momento exacto previo o posterior a comer, manteniendo una 
estética utilitaria e informal. La ambigüedad intrínseca radica en el origen de la preparación: la toma no aporta suficientes indicios visuales para determinar si se trata de un 
plato elaborado en un entorno hogareño o de un menú servido en un restaurante tradicional.",0.3563,0.295,0.171,0.0715,21.39,0.494,0.1319
864dd09676202286,JOB,casual,media,False,"Calzado en la tierra : Se asigna esta imagen a la categoría casual por ser una toma en picado realizada de forma instintiva, registrando los propios pies durante una pausa en un 
entorno natural. La composición no responde a un estándar publicitario o de diseño, sino al registro documental de una vivencia personal. La ambigüedad de la fotografía surge 
de los elementos observados: no queda claro qué actividad específica realiza la persona en ese terreno, ni la naturaleza exacta del calzado oscuro, el cual plantea dudas sobre 
si es un calzado técnico de montaña o una cubierta protectora para la lluvia.",0.3962,0.1889,0.0327,0.0109,13.33,0.3144,0.1611
f6066e321b10f4c2,JOB,diseno,media,True,"Fuente en piscina vista desde arriba : La fotografía pertenece a la categoría de diseño por su marcado enfoque abstracto y el uso deliberado de la perspectiva vertical. 
El encuadre busca resaltar el contraste de tonos fríos y cálidos junto con las texturas concéntricas de la fuente sobre el fondo reticulado de la piscina, priorizando 
la geometría visual por encima de la escena general. Su ambigüedad radica en la función del registro: no queda claro si la toma responde a un detalle arquitectónico 
publicitario, una búsqueda artística personal de patrones o una postal conceptual de un hotel",0.5173,0.1461,0.0,0.0,227.42,0.2874,0.1471
5acdcfa25e9511d7,JOB,diseno,media,False,"Café y libreta centrados : Se asigna a la categoría de diseño debido a su rigurosa alineación y búsqueda de equilibrio visual, organizando las tazas, la libreta y la lapicera 
sobre un eje central limpio. Esta disposición calculada apela a la estética minimalista característica de las redes sociales, donde los elementos cotidianos se reordenan 
estilísticamente. Su ambigüedad intrínseca se halla en el mensaje final: resulta incierto si la fotografía intenta promocionar la experiencia de un espacio de café, 
publicitar el diseño de la libreta o simplemente proyectar una atmósfera inspiradora en Instagram.",0.3272,0.2705,0.0038,0.0805,23.65,0.4961,0.2305
2dd6e6b5f2401a98,JOB,diseno,media,False,"Cuaderno con auriculares y anteojos : Esta imagen se clasifica en la categoría de diseño por su cuidada composición en plano cenital (flat lay), donde cada objeto está 
colocado con una clara intención estética y geométrica. La paleta de colores sobria y la simetría visual buscan evocar un concepto pulcro de espacio de trabajo o estudio. 
La ambigüedad de la foto radica en su propósito comunicativo: la disposición armada no permite distinguir si busca promocionar artículos de oficina, 
funcionar como imagen de portada sobre productividad para un blog o representar una toma conceptual de estilo de vida.",0.283,0.3065,0.0573,0.1215,24.06,0.545,0.2387
a9dca0565efe3c3a,JOB,profesional,media,True,"Playa con cielo despejado : Esta fotografía se clasifica en la categoría profesional por el riguroso control técnico de su composición. La aplicación explícita de la regla de tercios
ubica la línea del horizonte de forma equilibrada, mientras que el manejo preciso de la exposición logra colores limpios y un contraste equilibrado entre la arena, el mar y el cielo. 
Su ambigüedad radica en la finalidad del registro: el encuadre resulta lo suficientemente neutro como para ser una fotografía de catálogo turístico, 
un fondo de pantalla editorial o simplemente una captura de viaje ejecutada con técnica impecable.",0.6563,0.1535,0.0003,0.0216,203.91,0.3543,0.1136
e4024871b0869adc,JOB,profesional,media,True,"Casa Rosada iluminada : Se asigna a la categoría profesional debido al dominio técnico en la captura nocturna de arquitectura monumental. El uso de una exposición controlada 
evita el sobrecalentamiento de las luces artificiales sobre la fachada y conserva el detalle estructural en la penumbra, logrando una iluminación uniforme y un balance de blancos 
preciso que resalta los tonos rosados. La ambigüedad de la imagen se presenta en su contexto institucional: no permite determinar si la toma pertenece a una cobertura periodística, 
a un banco de imágenes patrimoniales o a un registro documental oficial.",0.3338,0.2606,0.3483,0.0151,12.94,0.4379,0.3323
76f95aec2f9f53ff,JOB,profesional,media,True,"Playa tropical con sombrillas : La imagen pertenece a la categoría profesional por el uso estratégico de un punto de vista elevado que organiza armónicamente los elementos 
naturales y estructurales. La composición aprovecha la luz natural para resaltar la gradación de tonos en el agua, distribuyendo las sombrillas de paja y la vegetación con una 
profundidad de campo precisa. Su ambigüedad intrínseca radica en el mensaje comercial: el encuadre cuidado genera dudas sobre si responde a una campaña publicitaria 
para un complejo hotelero de lujo o a una postal turística de archivo editorial.",0.5723,0.2961,0.0237,0.2927,196.08,0.1881,0.1711
1cdae17b3c639477,CB,casual,alta,False,"La asigné como casual porque la saqué espontáneamente para registrar lo que estaba viendo ese día para el trabajo. Me llamaron la atención las figuras de Maradona y Messi y quise que sus rostros se identificaran bien, pero no pensé demasiado en la composición. Saqué tres fotos y elegí esta porque tenía mejor luz, ya que después se nubló. Decidí destacar las figuras por encima de los bancos y otros elementos del lugar. La considero casual principalmente por el ambiente y el fondo, que tiene varios elementos que hacen que la imagen se vea más cargada.",0.2847,0.2399,0.0735,0.044,100.18,0.3656,0.0864
a71cfcb631e53314,CB,casual,media,False,"La asigné como casual porque quería registrar el edificio y el lugar en general desde el puente, ya que elegí deliberadamente ese ángulo. También tuve en cuenta el momento del día, porque estaba empezando a ocultarse el sol y las luces del edificio resaltaban con el cielo nublado. Saqué varias fotos y elegí esta porque era la que más me llamaba la atención. Si bien tiene algunos elementos de composición, como la regla de los tercios y un juego de formas, considero que mostrar todo el ambiente hace que sea más casual.",0.5418,0.2613,0.0479,0.0305,48.28,0.2857,0.2662
8cf1dc255ffcb944,CB,casual,alta,False,"La asigné como casual porque la saqué para registrar el tren que descubrí recorriendo la universidad, ya que todavía hay partes del campus que no conozco. Sí busqué deliberadamente el encuadre y elegí qué carteles dejar afuera porque había muchos alrededor. También busqué aprovechar la luz que iluminaba el tren desde atrás. Saqué varias fotos y elegí esta porque es la que más de cerca lo muestra. La considero casual por todos los elementos del entorno, como los carteles, las barandas y el edificio.",0.2965,0.2302,0.1558,0.042,20.54,0.4004,0.1235
a5fb1491be3d12af,CB,diseno,alta,False,"La asigné como diseño porque quería representar la arquitectura a partir de los distintos elementos que forman la fachada. Me llamó la atención la gran superficie que genera espacio negativo, junto con las líneas horizontales y las letras de “cine universitario”, que funcionan como un elemento tipográfico dentro de la composición. La parte inferior introduce ventanas y formas rectangulares que contrastan con la superficie de arriba. También busqué mantener una unidad visual a través de la paleta de grises y aprovechar la diagonal que forman las estructuras.",0.5409,0.1567,0.0127,0.0001,212.33,0.3255,0.2015
01be6ddbce8e7945,CB,diseno,alta,False,"La asigné como diseño porque buscaba destacar el objeto sobre un fondo blanco. Elegí aislarlo y ubicarlo hacia la derecha, dejando mucho espacio negativo a la izquierda. También me interesaron sus formas curvas, la repetición de las flores y el contraste entre la superficie lisa del fondo y los detalles del objeto. Pensé en los colores y en la sombra proyectada hacia la izquierda para que también formaran parte de la composición.",0.7048,0.1322,0.0027,0.0019,27.02,0.1041,0.4326
33a0a008194384ba,CB,diseno,alta,False,"La asigné como diseño para representar un momento cotidiano de lectura y pausa. Elegí el libro y la taza por sus formas diferentes, ya que el libro aporta una estructura rectangular y la taza circular. También busqué que sus colores contrastaran con el fondo blanco y que la iluminación generara una sombra visible de la taza. Quería que la luz no solamente iluminara los objetos, sino que también formara parte de la composición.",0.7053,0.1172,0.0012,0.0004,15.54,0.0953,0.482
bb05085157f36a71,CB,profesional,alta,False,"La asigné como profesional porque, aunque la fotografía original fue tomada espontáneamente para mostrarle a una amiga dónde me encontraba, cuando la revisé para esta actividad noté que la sombra de la escultura le daba potencial a la foto. Por eso decidí recortarla y jugar con la sombra y los distintos planos entre las figuras oscuras, la pared de ladrillos y las estructuras del edificio. No pensé específicamente en la iluminación al tomarla, pero la luz fue importante para generar la sombra que después decidí destacar.",0.412,0.234,0.0571,0.0112,24.86,0.3341,0.1154
d3c81b8fec0c9df5,CB,profesional,alta,False,"La asigné como profesional porque me llamó la atención cómo el camino genera un punto de fuga y cómo los árboles están alineados siguiendo ese recorrido hacia el fondo. La foto fue espontánea, ya que estaba buscando imágenes para el trabajo y esta escena fue la que más me llamó la atención, pero sí elegí deliberadamente sacar la foto desde ese lugar. También me gustaron mucho las sombras que hacían los árboles en el día soleado, porque le daban más profundidad a la imagen. Al adaptarla al formato 1:1 hice un recorte para sacar parte del edificio que aparecía a la izquierda y darle más protagonismo al camino y a los árboles.",0.2742,0.2085,0.1186,0.0034,73.54,0.5222,0.1234
b486caeca837b1a2,CB,profesional,alta,False,"La asigné como profesional porque la foto surgió de forma espontánea y buscaba principalmente mostrar la tranquilidad del lugar. Me gustó cómo quedaron equilibrados el cielo, el agua y la tierra, y cómo la caña genera una línea que lleva la mirada hacia el agua. No pensé en una iluminación o composición específica al tomarla. Después, al adaptarla al formato 1:1, recorté parte de la imagen original y elegí conservar la zona donde la caña quedaba hacia un extremo, junto con la parte del paisaje que más me llamaba la atención.",0.6551,0.2484,0.023,0.0516,24.65,0.2112,0.1023
661e2be5961d2f8f,MC,casual,alta,False,Retrata un momento nostalgico donde se evocan emociones de ese instante preciso y el contexto que rodea el evento,0.5598,0.1915,0.0297,0.0215,28.97,0.1108,0.162
21808e82e49fdc49,MC,casual,alta,False,Retrata un momento nostalgico donde se evocan emociones de ese instante preciso y el contexto que rodea el evento,0.6,0.2223,0.0457,0.0321,206.96,0.404,0.1764
2b4779ae9a82d40f,MC,casual,alta,False,Retrata un momento nostalgico donde se evocan emociones de ese instante preciso y el contexto que rodea el evento,0.4306,0.2478,0.0622,0.0507,21.51,0.3806,0.0798
01bf4855b1ecde75,MC,diseno,baja,False,"Se tomó con la intencionalidad de mostrar Minimalismo Global:  Control estricto de la paleta de colores y el espacio negativo (vacíos que equilibran la imagen) y Encuadre Asimétrico:  Desplazamiento del peso visual para crear una tensión sofisticado; comunicando ""cómo se siente"" un espacio curado",0.5933,0.1612,0.0079,0.0003,198.43,0.5313,0.1274
ca0b627c98d7e9ae,MC,diseno,media,False,"Se tomó con la intencionalidad de mostrar Minimalismo Global:  Control estricto de la paleta de colores y el espacio negativo (vacíos que equilibran la imagen) y Encuadre Asimétrico:  Desplazamiento del peso visual para crear una tensión sofisticado; comunicando ""cómo se siente"" un espacio curado",0.3789,0.1957,0.0347,0.0053,115.04,0.4813,0.0871
274b4d1c09b98225,MC,diseno,media,False,"Desplazamiento del peso visual para crear una tensión sofisticado; comunicando ""cómo se siente"" un espacio curado donde se busca tentar al espectador. Producir el deseo de sentir los sabores de la crema pastelera que desborda.",0.6814,0.1596,0.002,0.0028,30.96,0.2476,0.1286
083d2a10303815f6,MC,profesional,alta,False,"Posee un Enfoque crítico:  Nitidez absoluta en el sujeto principal; el uso del enfoque manual para asegurar la definición donde también conserva Rango tonal:  Exposición equilibrada que preserve información tanto en las altas luces como en las sombras más profundas y Arquitectura de la Luz: Uso de la iluminación para generar volumen, profundidad y ritmo visual.",0.032,0.0956,0.8461,0.0009,243.97,0.1788,0.8721
ed14e3941f8fa9b9,MC,profesional,baja,True,"Posee un Enfoque crítico:  Nitidez absoluta en el sujeto principal; el uso del enfoque manual para asegurar la definición donde también conserva Rango tonal:  Exposición equilibrada que preserve información tanto en las altas luces como en las sombras más profundas y Arquitectura de la Luz: Uso de la iluminación para generar volumen, profundidad y ritmo visual.",0.4916,0.1911,0.0417,0.0114,250.09,0.1708,0.1084
77e611e93c681110,MC,profesional,baja,True,"Posee un Enfoque crítico:  Nitidez absoluta en el sujeto principal; el uso del enfoque manual para asegurar la definición donde también conserva Rango tonal:  Exposición equilibrada que preserve información tanto en las altas luces como en las sombras más profundas y Arquitectura de la Luz: Uso de la iluminación para generar volumen, profundidad y ritmo visual.",0.3325,0.2084,0.0595,0.026,61.2,0.3424,0.1279
24ef167f5258ff6a,DD,casual,alta,False,"Invita a viajar con el pensamiento a una época y/o personas de un tiempo pasado // No mantiene lineas perfectas // Creación de una linea de tiempo ""mental""",0.3758,0.2194,0.0291,0.0245,24.78,0.3187,0.0823
52508cb0b352df57,DD,casual,alta,False,Invita a pensar en la vivencia de un momento de disfrute pleno // Imagen tomada desde un ángulo elevado // No hay una centralidad perfecto (Concepto de 2/3),0.455,0.2162,0.1028,0.0035,29.85,0.5186,0.0762
17eb746cacd0e4e9,DD,casual,alta,False,"Invita a viajar con el pensamiento a una época y/o personas de un tiempo pasado // Sin excelencia de colores // Creación de una linea de tiempo ""mental""",0.4797,0.2579,0.0405,0.0876,63.33,0.3015,0.0733
035dd67fec1c5086,DD,diseno,alta,False,"Utiliza el estilo flat lay, organizando los elementos de forma intencional. El objeto esta ubicado aplicando la regla de los tercios y el espacio negativo permite centrar la atencion en el.",0.7684,0.2103,0.0041,0.0002,37.76,0.3299,0.4201
4ebc5d371f2173c0,DD,diseno,alta,False,"Utiliza el estilo flat lay, organizando los elementos de forma intencional. El objeto esta ubicado aplicando la regla de los tercios y el espacio negativo permite centrar la atencion en el.",0.7789,0.1739,0.0,0.0001,161.83,0.1014,0.5889
6dbdff470a8a7ea0,DD,diseno,alta,False,"Utiliza el estilo flat lay, organizando los elementos de forma intencional. El objeto esta ubicado aplicando la regla de los tercios y el espacio negativo permite centrar la atencion en el.",0.7777,0.2489,0.032,0.0015,42.43,0.2981,0.5079
9fce1ebec391f095,DD,profesional,alta,False,"Imagen con muy buenos colores, nitidez, profundidad // Invita a pensar en naturaleza (flora y fauna)",0.4847,0.2333,0.0767,0.0157,133.7,0.6052,0.0766
12f45e4ff237a337,DD,profesional,alta,False,"Imagen con muiy buena nitidez, colores y contraste // Muy definido el concepto de 2/3 donde las nubes ocupan la parte superior",0.3512,0.245,0.1039,0.0059,186.42,0.5141,0.1704
d7ec13242a6458b5,DD,profesional,alta,False,Imagen con buenos colores y contrastes // Lineas claras con puntos de fuga,0.4924,0.2682,0.1546,0.0256,187.57,0.4791,0.1419
0f4fb28eee8666b3,CE,casual,alta,False,"Documentar lo cotidiano y la belleza de lo banal, el contraste de la luz del exterior con la sombra exterior",0.1484,0.2881,0.3199,0.0752,13.88,0.3778,0.2375
5976f4e6485a18c8,CE,casual,alta,False,"Quise documentar cómo el color de los globos violetas, el gris de la gata y el blanco de la mesa se refleja en la pared",0.4764,0.1807,0.025,0.0361,282.63,0.2542,0.151
2a78426cc7940949,CE,casual,alta,False,"Tomada para reflejar el primer plano de la atención de la gata, con el fondo de los globos de colores",0.4609,0.2545,0.0839,0.0241,274.53,0.2801,0.0772
355656bae2e62d58,CE,diseno,media,False,"Busqué representar el minimalismo en la cocina, pocos ingredientes, atmósfera de cocina cacera, ocupar poco espacio y dejar espacio para las betas de la madera",0.5673,0.1465,0.0004,0.0,22.82,0.3115,0.1484
a22fcae635023273,CE,diseno,media,False,"Quise reflejar que para disfrutar de un buen mate no se necesita de mucho, también reflejar el beteado del marmol como algo atemporal",0.6451,0.1646,0.0397,0.0005,26.36,0.0935,0.4436
2c8baba3d9019e8a,CE,diseno,baja,True,"Dudé al principio porque me parecía demasiado poco el limón, pero me gustó la sombra que genera y cómo se conjuga con los trazos del marmolado",0.6002,0.0941,0.0,0.0002,31.05,0.1529,0.3813
10ab96742bcae22d,CE,profesional,alta,False,"Regla de los tercios, contraste de colores, imagen limpia, balance cromático",0.5945,0.1336,0.0,0.0001,19.76,0.2831,0.2332
2da87fe4bb04aef3,CE,profesional,alta,False,"Regla de los tercios, contraste de colores, imagen limpia, balance cromático",0.6821,0.1351,0.0006,0.0,9.57,0.2007,0.3122
da10757094ba447d,CE,profesional,media,False,"Regla de los tercios, contraste de colores, imagen limpia, balance cromático",0.6277,0.1811,0.0228,0.0002,55.13,0.2662,0.2595
ca4c2fcffb767f6a,CG,casual,alta,False,"La fotografía registra un momento pasajero durante el embarque a un avión, funcionando como testimonio de una experiencia vivida. La presencia de los pasajeros, el equipaje y la aeronave permite conservar visualmente una situación que forma parte del viaje. El interés de la imagen está principalmente en documentar ese instante y no en alcanzar una composición estética perfecta. El encuadre conserva las características propias de la situación tal como se estaba desarrollando, por lo que la fotografía adquiere un carácter casual, vinculado especialmente con el recuerdo personal de la experiencia.",0.2499,0.2746,0.0303,0.0239,358.51,0.2866,0.3316
1df84e2dee41bfd4,CG,casual,alta,False,"La fotografía captura de manera espontánea a los patitos mirando hacia la cámara durante un momento cotidiano. El encuadre se realizó sin una preparación previa, priorizando el registro de la situación por encima de una composición técnicamente planificada. Las sombras presentes en la imagen y la distribución natural de los elementos refuerzan su carácter espontáneo. No se busca una iluminación uniforme ni una organización perfecta de la escena, sino conservar el momento tal como ocurrió. Estas características permiten identificarla como una fotografía casual, donde predomina el valor testimonial del instante.",0.4506,0.2189,0.0292,0.0194,51.66,0.3943,0.1023
0d1ecda1d4bbe36b,CG,casual,alta,False,"La fotografía registra un plato de comida dentro de una situación rutinaria y cotidiana. La sombra de quien toma la fotografía queda visible sobre la mesa y el encuadre no busca ocultar las imperfecciones presentes en la escena. Estos elementos muestran que la imagen fue tomada de manera inmediata, sin modificar previamente el entorno para obtener un resultado más cuidado. El interés está puesto en conservar una escena común tal como se encontraba en ese momento, característica propia de la fotografía casual y de su carácter espontáneo",0.5662,0.1963,0.0196,0.0027,31.03,0.3825,0.1847
183dd488448233e2,CG,diseno,alta,False,"Utiliza una toma cenital y una composición asimétrica, ubicando el alfajor fuera del centro de la imagen. Los pocos elementos y colores presentes, junto con el amplio espacio libre, generan una composición minimalista. El fondo claro permite diferenciar fácilmente el objeto y mantener una paleta visual reducida. La disposición del alfajor y su envoltorio concentra la información en una zona determinada del encuadre, mientras el resto permanece prácticamente vacío. Estas características responden a una fotografía de diseño basada en la simplificación y la organización intencional de los elementos.",0.7288,0.2447,0.0143,0.0065,22.36,0.1155,0.3243
a4486021a80f671e,CG,diseno,alta,False,"Utiliza el estilo flat lay, organizando los elementos de forma intencional sobre una superficie clara y fotografiándolos desde arriba. El objeto está ubicado aplicando la regla de los tercios, dejando un amplio espacio negativo que permite centrar la atención en él. La disposición del perfume y su tapa muestra una composición previamente pensada, en lugar de un registro espontáneo. La presencia de pocos elementos y una paleta de colores reducida refuerzan la estética minimalista y permiten destacar las formas, los colores y los detalles del producto dentro del encuadre.",0.695,0.0938,0.0008,0.0006,353.48,0.0757,0.6667
8cfc34fd19024943,CG,diseno,alta,False,"Presenta una toma cenital donde se destacan las formas y líneas geométricas del mouse. Su ubicación siguiendo la regla de los tercios deja un amplio espacio negativo, evitando que otros elementos compitan visualmente con el objeto principal. La composición utiliza pocos elementos y una paleta de colores reducida, características propias de una estética minimalista. El fondo claro permite diferenciar con facilidad la forma y los detalles del mouse, mientras que su disposición dentro del encuadre mantiene una composición simple y organizada, centrada principalmente en el diseño del objeto",0.746,0.2428,0.0727,0.0001,180.56,0.0977,0.5231
3ac9f6842f0ec3f1,CG,profesional,alta,False,"Presenta una composición cuidada, utilizando líneas de fuga y repetición de elementos que guían la mirada hacia el fondo de la imagen. La perspectiva desde un punto elevado permite observar la extensión de la avenida y genera una clara sensación de profundidad. La distribución de los edificios, árboles y vehículos acompaña la dirección de las líneas principales y organiza visualmente la escena. Además, la buena nitidez permite distinguir los diferentes elementos y planos, reforzando el carácter profesional de una fotografía basada en una composición estructurada y técnicamente definida.",0.5731,0.201,0.009,0.0084,178.96,0.2412,0.1006
f7ebf19812f71ef6,CG,profesional,alta,False,"Presenta una buena nitidez y un sujeto principal claramente definido dentro del encuadre. El contraste entre el monumento y el cielo permite diferenciar con claridad sus formas y contornos, haciendo que la mirada se dirija directamente hacia él. El espacio libre que lo rodea evita que otros elementos interfieran visualmente con el sujeto principal. La perspectiva utilizada también permite apreciar su altura y estructura, mientras que la definición de sus líneas y detalles contribuye a una imagen técnicamente cuidada, características que permiten identificarla como una fotografía profesional.",0.5375,0.1691,0.0197,0.0016,211.26,0.5655,0.2087
777f8febbb00aa17,CG,profesional,alta,False,"Utiliza la regla de los tercios para ubicar al caballo fuera del centro de la imagen, logrando una composición visualmente organizada. La disposición de los distintos elementos del paisaje y la perspectiva generan sensación de profundidad, permitiendo distinguir diferentes planos dentro de la escena. La buena nitidez mantiene al caballo claramente definido y permite destacarlo como sujeto principal sin separarlo del entorno natural. A su vez, el encuadre conserva suficiente información del paisaje para contextualizar la escena, dando como resultado una fotografía cuidada y con una composición técnicamente estructurada.",0.5944,0.1845,0.0165,0.0075,82.92,0.2664,0.0785
68b9770b4b560b81,SL,casual,alta,False,"Contraste dentro de un contexto cotidiano, un reflejo de lo natural en un entorno de cemento",0.4982,0.1839,0.0193,0.0178,60.93,0.197,0.1274
648242a78c764c00,SL,casual,alta,False,"Momento de relax, sin cuidado del plano, solo intencion de reflejar disfrute de una tarde de verano",0.3328,0.2253,0.063,0.0076,278.03,0.2288,0.1477
5dddb7ae5c34be3d,SL,casual,alta,False,"Imagen simple, captura de intereses literarios",0.4576,0.203,0.0699,0.0032,25.71,0.2568,0.0823
83669df919299107,SL,diseno,alta,False,Orden. Ambiente limpio. Espacio aplanado.  Vacios en equilibrio con la composición.,0.3168,0.2177,0.1356,0.015,22.63,0.5367,0.1408
2ed49f6b2355483c,SL,diseno,media,True,Disposición grafica intencional. Juego con las lineas. Paleta monocromatica. Uso de la luz-sombra para enfatizar.,0.4988,0.1535,0.0138,0.001,26.35,0.263,0.092
d6cd9f5b76eb9b27,SL,diseno,alta,False,Simpleza de la armonia. Ambiente limpio. Espacio aplanado. Paleta d ecolores neutral. Vacios en equilibrio con la composición.,0.5084,0.162,0.0,0.0,20.52,0.1315,0.2228
6f4f831b8c174904,SL,profesional,alta,False,"Regla de los tres tercios. Nitidez, definición y claridad. Equilibrio tonal. Atmosfera calida.",0.5957,0.2191,0.03,0.0054,60.37,0.5166,0.1053
d0ce71be09929542,SL,profesional,alta,False,Regla de los tres tercios. Nitidez. Neutralidad tonal. Linea de horizonte alineado. Atmosfera fria,0.3989,0.2945,0.053,0.1639,125.78,0.2298,0.166
